state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures
Goa,2022,False,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0.0,,,,,,49.59,False,0.0,5.0
Goa,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,3.0
Goa,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,
Gujarat,2019,False,mortality_19-21,1.0,,,,,,43.75,False,1.0,10.0
Gujarat,2020,False,mortality_19-21,0.0,,,,,,20.75,False,0.0,4.0
Gujarat,2021,False,mortality_19-21|tigerdeaths_unnaturalcauses,0.0,,,,,,20.47,False,0.0,7.0
Gujarat,2022,False,tigerdeaths_unnaturalcauses,,,,,,,49.59,True,0.0,5.0
Gujarat,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,3.0
Gujarat,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,
Haryana,2012,False,tigerdeaths_2012,1.0,1.0,0.0,0.0,,,,False,1.0,
Haryana,2021,False,tigerdeaths_unnaturalcauses,,,,,,,20.47,True,1.0,7.0
Haryana,2022,False,tigerdeaths_unnaturalcauses,,,,,,,49.59,True,1.0,5.0
Haryana,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,1.0,3.0
Haryana,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,1.0,
Jharkhand,2019,False,mortality_19-21,0.0,,,,,,43.75,False,0.0,10.0
Jharkhand,2020,False,mortality_19-21|tigerdeaths_20-22,1.0,,,,,,20.75,False,1.0,4.0
Jharkhand,2021,False,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0.0,,,,,,20.47,False,0.0,7.0
Jharkhand,2022,False,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0.0,,,,,,49.59,False,0.0,5.0
Jharkhand,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,3.0
Jharkhand,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,
Karnataka,2012,False,tigerdeaths_2012,14.0,8.0,4.0,2.0,,,,False,14.0,
Karnataka,2013,False,tigerdeaths_2013,15.0,3.0,0.0,12.0,,,,False,15.0,
Karnataka,2014,False,mortality_14-15,7.0,,1.0,6.0,,,,False,7.0,
Karnataka,2015,False,mortality_14-15,8.0,0.0,0.0,8.0,,,,False,8.0,
Karnataka,2016,False,tigerdeaths_16-18,14.0,,,,,,,False,14.0,
Karnataka,2017,False,tigerdeaths_16-18,16.0,,,,,,,False,16.0,
Karnataka,2018,False,tigerdeaths_16-18,8.0,,,,,,57.43,False,8.0,
Karnataka,2019,False,mortality_19-21,12.0,,,,,,43.75,False,12.0,10.0
Karnataka,2020,False,mortality_19-21|tigerdeaths_20-22,12.0,,,,,,20.75,False,12.0,4.0
Karnataka,2021,True,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,15.0,,,,,1.0,20.47,False,15.0,7.0
Karnataka,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,19.0,3.0,,,,,49.59,False,19.0,5.0
Karnataka,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,19.0,3.0
Karnataka,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,19.0,
Kerala,2012,False,tigerdeaths_2012,5.0,2.0,2.0,1.0,,,,False,5.0,
Kerala,2013,False,tigerdeaths_2013,6.0,2.0,2.0,2.0,,,,False,6.0,
Kerala,2014,False,mortality_14-15,4.0,1.0,1.0,2.0,,,,False,4.0,
Kerala,2015,False,mortality_14-15,1.0,0.0,0.0,1.0,,,,False,1.0,
