landscape,state,year,population,source_file,has_conflict,was_imputed,population_imputed,imputation_method,population_ci_lower,population_ci_upper,population_ci_method
Western Ghats Landscape Complex,Kerala,2006,46.0,tiger_population_06-18,False,False,46.0,none,41.12,221.28,t-distribution
Western Ghats Landscape Complex,Kerala,2010,71.0,tiger_population_06-18,False,False,71.0,none,41.12,221.28,t-distribution
Western Ghats Landscape Complex,Kerala,2014,136.0,tiger_population_06-18,False,False,136.0,none,41.12,221.28,t-distribution
Western Ghats Landscape Complex,Kerala,2018,190.0,tiger_population_06-18,False,False,190.0,none,41.12,221.28,t-distribution
Unknown,Kerala,2022,213.0,tiger_population_2022,False,False,213.0,none,41.12,221.28,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Madhya Pradesh,2006,300.0,tiger_population_06-18,False,False,300.0,none,159.77,710.63,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Madhya Pradesh,2010,257.0,tiger_population_06-18,False,False,257.0,none,159.77,710.63,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Madhya Pradesh,2014,308.0,tiger_population_06-18,False,False,308.0,none,159.77,710.63,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Madhya Pradesh,2018,526.0,tiger_population_06-18,False,False,526.0,none,159.77,710.63,t-distribution
Unknown,Madhya Pradesh,2022,785.0,tiger_population_2022,False,False,785.0,none,159.77,710.63,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Maharashtra,2006,103.0,tiger_population_06-18,False,False,103.0,none,75.81,411.39,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Maharashtra,2010,169.0,tiger_population_06-18,False,False,169.0,none,75.81,411.39,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Maharashtra,2014,190.0,tiger_population_06-18,False,False,190.0,none,75.81,411.39,t-distribution
Central Indian Landscape Complex and Eastern Ghats Landscape Complex,Maharashtra,2018,312.0,tiger_population_06-18,False,False,312.0,none,75.81,411.39,t-distribution
Unknown,Maharashtra,2022,444.0,tiger_population_2022,False,False,444.0,none,75.81,411.39,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Mizoram,2006,6.0,tiger_population_06-18,False,False,6.0,none,-0.71,7.71,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Mizoram,2010,5.0,tiger_population_06-18,False,False,5.0,none,-0.71,7.71,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Mizoram,2014,3.0,tiger_population_06-18,False,False,3.0,none,-0.71,7.71,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Mizoram,2018,0.0,tiger_population_06-18,False,False,0.0,none,-0.71,7.71,t-distribution
North Eastern Hills and Brahmaputra Flood Plains,Nagaland,2006,0.0,tiger_population_06-18,False,True,0.0,kalman,0.0,0.0,constant
North Eastern Hills and Brahmaputra Flood Plains,Nagaland,2010,0.0,tiger_population_06-18,False,True,0.0,kalman,0.0,0.0,constant
North Eastern Hills and Brahmaputra Flood Plains,Nagaland,2014,0.0,tiger_population_06-18,False,True,0.0,kalman,0.0,0.0,constant
North Eastern Hills and Brahmaputra Flood Plains,Nagaland,2018,0.0,tiger_population_06-18,False,False,0.0,none,0.0,0.0,constant
