year,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Mizoram,Odisha,Rajasthan,Sundarbans,Tamil Nadu,Telangana,Uttar Pradesh,Uttarakhand,West Bengal
2006,0.02939256399070576,0.005083164197096061,0.04378009881793733,0.012681182393446365,0.005303243545340693,0.04194716703157292,0.07207153472605361,0.05181638974936638,0.0422237860661506,0.02258989902534455,0.015500671695773485,0.018220836538850874,0.012222837608143465,0.02721056702934465,0.02315767021649375,0.046285323927560684,0.08872103339655046,0.14957354732994413,0.00388722386133495
2007,0.026184034565855614,0.006531904293576692,0.048264887310217795,0.013000763741357868,0.005905580877502877,0.026873676552893192,0.05983177601242989,0.04357215292145859,0.03630367581476927,0.02052092565107897,0.013919209120492161,0.01509237722458916,0.01263227146028454,0.02331933298262543,0.02096873250166323,0.03853036006333214,0.07269373828455561,0.12067420660196014,0.0051149006348306224
2008,0.02939256399070576,0.0028543810103608663,0.04945295855119912,0.012681182393446365,0.0017525334461964126,0.014303669935940065,0.07207153472605361,0.05181638974936638,0.0422237860661506,0.02258989902534455,0.008641435094956495,0.009108990199494857,0.012222837608143465,0.017486369578821714,0.02315767021649375,0.03123112280242042,0.08872103339655046,0.14957354732994413,0.0010343582946946833
2009,0.024648904896986904,0.006592626361087073,0.07237033455840128,0.011290387468749977,0.004802331264230644,0.013770444524340276,0.06516167508666572,0.056000757446790964,0.03562236168662531,0.027437138090780626,0.012491414287033466,0.012656472438575992,0.013025399099499763,0.024026154255549815,0.03211950038392415,0.04079366471216819,0.08186673368274273,0.14535404626434983,0.0035646937289181457
2010,0.02227646955085068,0.007624746295644092,0.08943648758521483,0.010144945914757092,0.005303243545340693,0.010231016349164127,0.07455676006143476,0.07997747113489158,0.03617171006333568,0.0370649799542061,0.01291722641314457,0.012957039316516176,0.013750692309161398,0.02721056702934465,0.04966710849063791,0.046285323927560684,0.09604662331002711,0.19074828788706358,0.0
2011,0.019414676466585713,0.008013442699823898,0.08393242539557123,0.0136561919730408,0.0060510864032239,0.006998921808601072,0.07027517407597415,0.08648487267047723,0.03387041798876643,0.03467254070203664,0.011224891015054118,0.011539272569472672,0.013195174898823327,0.0251293135394487,0.05041259008496723,0.04191786465122403,0.08627501009548982,0.1899580640506776,0.0029314903419230534
2012,0.02037446635715244,0.010082937992358624,0.08573702591581807,0.021562772555505916,0.008589787087934729,0.006841405014288068,0.07507190068585676,0.10113861451574882,0.03567394075692374,0.03565146368162378,0.0115514931448249,0.012555232626482076,0.015110539088276085,0.02640496962077278,0.0550376183249362,0.04233443128563845,0.08357857656090668,0.20485398218877654,0.00416745723957631
2013,0.019561110910694436,0.008870646491393694,0.09296402615540972,0.027962357869025588,0.007774974204912201,0.003655781161126666,0.08562702076638357,0.12419830266160353,0.03763034437220326,0.036585562299214884,0.008584180909929542,0.010711238959838406,0.014649418107762853,0.026475188705686818,0.06095833892900505,0.04306315448294626,0.08646309623538406,0.24053677848409993,0.00146547292072165
2014,0.021038887909136755,0.010166328394192122,0.1044468071799362,0.03550731070164982,0.009382661657141226,0.003069304904749238,0.10090014861647505,0.1531962827372571,0.04334975369458128,0.04167068752248024,0.007750335847886742,0.011337409401951656,0.017188365386451746,0.029542901346145622,0.06977771683654037,0.046285323927560684,0.09523266887519637,0.2857022814167472,0.001166167158400485
2015,0.01793815211482798,0.009074440835508017,0.10391564711064603,0.0347509398801568,0.007590446083387742,0.0015876434142561042,0.10490649735552995,0.16536297497701025,0.04568772379013529,0.04370132738450478,0.0046883072816061,0.00965645501887763,0.017264426036557166,0.02851073998326036,0.06947504171217608,0.03793498232377764,0.09888091180821768,0.29929004853341873,0.0
