state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures,total_deaths_ci_lower,total_deaths_ci_upper,total_deaths_ci_method
Andhra Pradesh,2014,FALSE,mortality_14-15,3,2,0,1,,,,FALSE,3,,0.73,2.27,t-distribution
Andhra Pradesh,2018,FALSE,tigerdeaths_16-18,1,,,,,,57.43,FALSE,1,,0.73,2.27,t-distribution
Andhra Pradesh,2019,FALSE,mortality_19-21,1,,,,,,43.75,FALSE,1,10,0.73,2.27,t-distribution
Andhra Pradesh,2020,FALSE,mortality_19-21|tigerdeaths_20-22,1,,,,,,20.75,FALSE,1,4,0.73,2.27,t-distribution
Andhra Pradesh,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,1,,,,,1,20.47,FALSE,1,7,0.73,2.27,t-distribution
Andhra Pradesh,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,3,2,,,,,49.59,FALSE,3,5,0.73,2.27,t-distribution
Andhra Pradesh,2023,FALSE,tigerdeaths_unnaturalcauses,1,1,,,,,,FALSE,1,3,0.73,2.27,t-distribution
Andhra Pradesh,2024,FALSE,tigerdeaths_unnaturalcauses,1,,,,,,,TRUE,1,,0.73,2.27,t-distribution
Arunachal Pradesh,2012,FALSE,tigerdeaths_2012,1,1,0,0,,,,FALSE,1,,-0.21,0.49,t-distribution
Arunachal Pradesh,2019,FALSE,mortality_19-21,0,,,,,,43.75,FALSE,0,10,-0.21,0.49,t-distribution
Arunachal Pradesh,2020,FALSE,mortality_19-21,0,,,,,,20.75,FALSE,0,4,-0.21,0.49,t-distribution
Arunachal Pradesh,2021,FALSE,mortality_19-21|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,-0.21,0.49,t-distribution
Arunachal Pradesh,2022,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,49.59,TRUE,0,5,-0.21,0.49,t-distribution
Arunachal Pradesh,2023,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,3,-0.21,0.49,t-distribution
Arunachal Pradesh,2024,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,,-0.21,0.49,t-distribution
Assam,2012,FALSE,tigerdeaths_2012,6,3,1,2,,,,FALSE,6,,4.29,7.34,t-distribution
Assam,2013,FALSE,tigerdeaths_2013,8,3,0,5,,,,FALSE,8,,4.29,7.34,t-distribution
Assam,2014,FALSE,mortality_14-15,6,,1,5,,,,FALSE,6,,4.29,7.34,t-distribution
Assam,2016,FALSE,tigerdeaths_16-18,4,,,,,,,FALSE,4,,4.29,7.34,t-distribution
Assam,2017,FALSE,tigerdeaths_16-18,11,,,,,,,FALSE,11,,4.29,7.34,t-distribution
Assam,2019,FALSE,mortality_19-21,5,,,,,,43.75,FALSE,5,10,4.29,7.34,t-distribution
Assam,2020,FALSE,mortality_19-21|tigerdeaths_20-22,6,,,,,,20.75,FALSE,6,4,4.29,7.34,t-distribution
Assam,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,6,,,,,,20.47,FALSE,6,7,4.29,7.34,t-distribution
Assam,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,6,,,,,2,49.59,FALSE,6,5,4.29,7.34,t-distribution
Assam,2023,FALSE,tigerdeaths_unnaturalcauses,3,,,,3,,,FALSE,3,3,4.29,7.34,t-distribution
Assam,2024,FALSE,tigerdeaths_unnaturalcauses,3,,,,,,,TRUE,3,,4.29,7.34,t-distribution
Bihar,2012,FALSE,tigerdeaths_2012,1,0,1,0,,,,FALSE,1,,1.3,3.15,t-distribution
Bihar,2014,FALSE,mortality_14-15,3,,2,1,,,,FALSE,3,,1.3,3.15,t-distribution
Bihar,2016,FALSE,tigerdeaths_16-18,4,,,,,,,FALSE,4,,1.3,3.15,t-distribution
Bihar,2019,FALSE,mortality_19-21,1,,,,,,43.75,FALSE,1,10,1.3,3.15,t-distribution
Bihar,2020,FALSE,mortality_19-21|tigerdeaths_20-22,1,,,,,,20.75,FALSE,1,4,1.3,3.15,t-distribution
Bihar,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,4,,,,,,20.47,FALSE,4,7,1.3,3.15,t-distribution
Bihar,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,2,,,,,1,49.59,FALSE,2,5,1.3,3.15,t-distribution
Bihar,2023,FALSE,tigerdeaths_unnaturalcauses,2,1,,,1,,,FALSE,2,3,1.3,3.15,t-distribution
Bihar,2024,FALSE,tigerdeaths_unnaturalcauses,2,,,,,,,TRUE,2,,1.3,3.15,t-distribution
Chhattisgarh,2012,FALSE,tigerdeaths_2012,1,1,0,0,,,,FALSE,1,,1.28,3.22,t-distribution
Chhattisgarh,2014,FALSE,mortality_14-15,2,2,,,,,,FALSE,2,,1.28,3.22,t-distribution
Chhattisgarh,2019,FALSE,mortality_19-21,1,,,,,,43.75,FALSE,1,10,1.28,3.22,t-distribution
Chhattisgarh,2020,FALSE,mortality_19-21|tigerdeaths_20-22,1,,,,,,20.75,FALSE,1,4,1.28,3.22,t-distribution
Chhattisgarh,2021,TRUE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,4,,,,,2,20.47,FALSE,4,7,1.28,3.22,t-distribution
Chhattisgarh,2022,FALSE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,3,,,,,,49.59,FALSE,3,5,1.28,3.22,t-distribution
Chhattisgarh,2023,FALSE,tigerdeaths_unnaturalcauses,3,,,,,,,TRUE,3,3,1.28,3.22,t-distribution
Chhattisgarh,2024,FALSE,tigerdeaths_unnaturalcauses,3,,,,,,,TRUE,3,,1.28,3.22,t-distribution
Delhi,2019,FALSE,mortality_19-21,0,,,,,,43.75,FALSE,0,10,0,0,constant
Delhi,2020,FALSE,mortality_19-21,0,,,,,,20.75,FALSE,0,4,0,0,constant
Delhi,2021,FALSE,mortality_19-21|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,0,0,constant
Delhi,2022,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,49.59,TRUE,0,5,0,0,constant
Delhi,2023,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,3,0,0,constant
Delhi,2024,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,,0,0,constant
Goa,2019,FALSE,mortality_19-21,0,,,,,,43.75,FALSE,0,10,-1.05,2.38,t-distribution
Goa,2020,FALSE,mortality_19-21|tigerdeaths_20-22,4,,,,,,20.75,FALSE,4,4,-1.05,2.38,t-distribution
Goa,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,-1.05,2.38,t-distribution
Goa,2022,FALSE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0,,,,,,49.59,FALSE,0,5,-1.05,2.38,t-distribution
Goa,2023,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,3,-1.05,2.38,t-distribution
Goa,2024,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,,-1.05,2.38,t-distribution
Gujarat,2019,FALSE,mortality_19-21,1,,,,,,43.75,FALSE,1,10,-0.26,0.6,t-distribution
Gujarat,2020,FALSE,mortality_19-21,0,,,,,,20.75,FALSE,0,4,-0.26,0.6,t-distribution
Gujarat,2021,FALSE,mortality_19-21|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,-0.26,0.6,t-distribution
Gujarat,2022,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,49.59,TRUE,0,5,-0.26,0.6,t-distribution
Gujarat,2023,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,3,-0.26,0.6,t-distribution
Gujarat,2024,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,,-0.26,0.6,t-distribution
Haryana,2012,FALSE,tigerdeaths_2012,1,1,0,0,,,,FALSE,1,,1,1,constant
Haryana,2021,FALSE,tigerdeaths_unnaturalcauses,1,,,,,,20.47,TRUE,1,7,1,1,constant
Haryana,2022,FALSE,tigerdeaths_unnaturalcauses,1,,,,,,49.59,TRUE,1,5,1,1,constant
Haryana,2023,FALSE,tigerdeaths_unnaturalcauses,1,,,,,,,TRUE,1,3,1,1,constant
Haryana,2024,FALSE,tigerdeaths_unnaturalcauses,1,,,,,,,TRUE,1,,1,1,constant
Jharkhand,2019,FALSE,mortality_19-21,0,,,,,,43.75,FALSE,0,10,-0.26,0.6,t-distribution
Jharkhand,2020,FALSE,mortality_19-21|tigerdeaths_20-22,1,,,,,,20.75,FALSE,1,4,-0.26,0.6,t-distribution
Jharkhand,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,-0.26,0.6,t-distribution
Jharkhand,2022,FALSE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0,,,,,,49.59,FALSE,0,5,-0.26,0.6,t-distribution
Jharkhand,2023,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,3,-0.26,0.6,t-distribution
Jharkhand,2024,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,,-0.26,0.6,t-distribution
Karnataka,2012,FALSE,tigerdeaths_2012,14,8,4,2,,,,FALSE,14,,11.17,16.21,t-distribution
Karnataka,2013,FALSE,tigerdeaths_2013,15,3,0,12,,,,FALSE,15,,11.17,16.21,t-distribution
Karnataka,2014,FALSE,mortality_14-15,7,,1,6,,,,FALSE,7,,11.17,16.21,t-distribution
Karnataka,2015,FALSE,mortality_14-15,8,0,0,8,,,,FALSE,8,,11.17,16.21,t-distribution
Karnataka,2016,FALSE,tigerdeaths_16-18,14,,,,,,,FALSE,14,,11.17,16.21,t-distribution
Karnataka,2017,FALSE,tigerdeaths_16-18,16,,,,,,,FALSE,16,,11.17,16.21,t-distribution
Karnataka,2018,FALSE,tigerdeaths_16-18,8,,,,,,57.43,FALSE,8,,11.17,16.21,t-distribution
Karnataka,2019,FALSE,mortality_19-21,12,,,,,,43.75,FALSE,12,10,11.17,16.21,t-distribution
Karnataka,2020,FALSE,mortality_19-21|tigerdeaths_20-22,12,,,,,,20.75,FALSE,12,4,11.17,16.21,t-distribution
Karnataka,2021,TRUE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,15,,,,,1,20.47,FALSE,15,7,11.17,16.21,t-distribution
Karnataka,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,19,3,,,,,49.59,FALSE,19,5,11.17,16.21,t-distribution
Karnataka,2023,FALSE,tigerdeaths_unnaturalcauses,19,,,,,,,TRUE,19,3,11.17,16.21,t-distribution
Karnataka,2024,FALSE,tigerdeaths_unnaturalcauses,19,,,,,,,TRUE,19,,11.17,16.21,t-distribution
Kerala,2012,FALSE,tigerdeaths_2012,5,2,2,1,,,,FALSE,5,,2.07,5.76,t-distribution
Kerala,2013,FALSE,tigerdeaths_2013,6,2,2,2,,,,FALSE,6,,2.07,5.76,t-distribution
Kerala,2014,FALSE,mortality_14-15,4,1,1,2,,,,FALSE,4,,2.07,5.76,t-distribution
Kerala,2015,FALSE,mortality_14-15,1,0,0,1,,,,FALSE,1,,2.07,5.76,t-distribution
Kerala,2017,FALSE,tigerdeaths_16-18,1,,,,,,,FALSE,1,,2.07,5.76,t-distribution
Kerala,2018,FALSE,tigerdeaths_16-18,2,,,,,,57.43,FALSE,2,,2.07,5.76,t-distribution
Kerala,2019,FALSE,mortality_19-21,1,,,,,,43.75,FALSE,1,10,2.07,5.76,t-distribution
Kerala,2020,FALSE,mortality_19-21|tigerdeaths_20-22,10,,,,,,20.75,FALSE,10,4,2.07,5.76,t-distribution
Kerala,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,6,,,,,,20.47,FALSE,6,7,2.07,5.76,t-distribution
Kerala,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,7,,,,,3,49.59,FALSE,7,5,2.07,5.76,t-distribution
Kerala,2023,FALSE,tigerdeaths_unnaturalcauses,2,1,,,,1,,FALSE,2,3,2.07,5.76,t-distribution
Kerala,2024,FALSE,tigerdeaths_unnaturalcauses,2,,,,,,,TRUE,2,,2.07,5.76,t-distribution
Madhya Pradesh,2012,FALSE,tigerdeaths_2012,15,7,6,2,,,,FALSE,15,,10.75,26.18,t-distribution
Madhya Pradesh,2013,FALSE,tigerdeaths_2013,10,2,3,5,,,,FALSE,10,,10.75,26.18,t-distribution
Madhya Pradesh,2014,FALSE,mortality_14-15,15,2,5,8,,,,FALSE,15,,10.75,26.18,t-distribution
Madhya Pradesh,2015,FALSE,mortality_14-15,2,0,0,2,,,,FALSE,2,,10.75,26.18,t-distribution
Madhya Pradesh,2016,FALSE,tigerdeaths_16-18,26,,,,,,,FALSE,26,,10.75,26.18,t-distribution
Madhya Pradesh,2017,FALSE,tigerdeaths_16-18,12,,,,,,,FALSE,12,,10.75,26.18,t-distribution
Madhya Pradesh,2018,FALSE,tigerdeaths_16-18,15,,,,,,57.43,FALSE,15,,10.75,26.18,t-distribution
Madhya Pradesh,2019,FALSE,mortality_19-21,31,,,,,,43.75,FALSE,31,10,10.75,26.18,t-distribution
Madhya Pradesh,2020,FALSE,mortality_19-21|tigerdeaths_20-22,29,,,,,,20.75,FALSE,29,4,10.75,26.18,t-distribution
Madhya Pradesh,2021,TRUE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,42,3,,,,1,20.47,FALSE,42,7,10.75,26.18,t-distribution
Madhya Pradesh,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,34,5,,,1,1,49.59,FALSE,34,5,10.75,26.18,t-distribution
Madhya Pradesh,2023,FALSE,tigerdeaths_unnaturalcauses,8,5,,,,3,,FALSE,8,3,10.75,26.18,t-distribution
Madhya Pradesh,2024,FALSE,tigerdeaths_unnaturalcauses,1,1,,,,,,FALSE,1,,10.75,26.18,t-distribution
Maharashtra,2012,FALSE,tigerdeaths_2012,14,7,3,4,,,,FALSE,14,,7.5,18,t-distribution
Maharashtra,2013,FALSE,tigerdeaths_2013,11,4,4,3,,,,FALSE,11,,7.5,18,t-distribution
Maharashtra,2014,FALSE,mortality_14-15,10,3,,7,,,,FALSE,10,,7.5,18,t-distribution
Maharashtra,2016,FALSE,tigerdeaths_16-18,8,,,,,,,FALSE,8,,7.5,18,t-distribution
Maharashtra,2017,FALSE,tigerdeaths_16-18,9,,,,,,,FALSE,9,,7.5,18,t-distribution
Maharashtra,2018,FALSE,tigerdeaths_16-18,4,,,,,,57.43,FALSE,4,,7.5,18,t-distribution
Maharashtra,2019,FALSE,mortality_19-21,18,,,,,,43.75,FALSE,18,10,7.5,18,t-distribution
Maharashtra,2020,FALSE,mortality_19-21|tigerdeaths_20-22,16,,,,,,20.75,FALSE,16,4,7.5,18,t-distribution
Maharashtra,2021,TRUE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,27,5,,,,2,20.47,FALSE,27,7,7.5,18,t-distribution
Maharashtra,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,28,2,,,,2,49.59,FALSE,28,5,7.5,18,t-distribution
Maharashtra,2023,FALSE,tigerdeaths_unnaturalcauses,4,1,,,,3,,FALSE,4,3,7.5,18,t-distribution
Maharashtra,2024,FALSE,tigerdeaths_unnaturalcauses,4,,,,,,,TRUE,4,,7.5,18,t-distribution
Nagaland,2019,FALSE,mortality_19-21,0,,,,,,43.75,FALSE,0,10,0,0,constant
Nagaland,2020,FALSE,mortality_19-21,0,,,,,,20.75,FALSE,0,4,0,0,constant
Nagaland,2021,FALSE,mortality_19-21|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,0,0,constant
Nagaland,2022,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,49.59,TRUE,0,5,0,0,constant
Nagaland,2023,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,3,0,0,constant
Nagaland,2024,FALSE,tigerdeaths_unnaturalcauses,0,,,,,,,TRUE,0,,0,0,constant
Odisha,2012,FALSE,tigerdeaths_2012,1,1,0,0,,,,FALSE,1,,0.42,1.58,t-distribution
Odisha,2013,FALSE,tigerdeaths_2013,1,0,1,0,,,,FALSE,1,,0.42,1.58,t-distribution
Odisha,2017,FALSE,tigerdeaths_16-18,1,,,,,,,FALSE,1,,0.42,1.58,t-distribution
Odisha,2018,FALSE,tigerdeaths_16-18,1,,,,,,57.43,FALSE,1,,0.42,1.58,t-distribution
Odisha,2019,FALSE,mortality_19-21,0,,,,,,43.75,FALSE,0,10,0.42,1.58,t-distribution
Odisha,2020,FALSE,mortality_19-21|tigerdeaths_20-22,0,,,,,,20.75,FALSE,0,4,0.42,1.58,t-distribution
Odisha,2021,FALSE,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0,,,,,,20.47,FALSE,0,7,0.42,1.58,t-distribution
Odisha,2022,TRUE,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,2,,,,1,,49.59,FALSE,2,5,0.42,1.58,t-distribution
Odisha,2023,FALSE,tigerdeaths_unnaturalcauses,2,,,,,,,TRUE,2,3,0.42,1.58,t-distribution
Odisha,2024,FALSE,tigerdeaths_unnaturalcauses,2,,,,,,,TRUE,2,,0.42,1.58,t-distribution
Rajasthan,2012,FALSE,tigerdeaths_2012,1,1,0,0,,,,FALSE,1,,1.8,4.38,t-distribution
Rajasthan,2013,FALSE,tigerdeaths_2013,1,0,0,1,,,,FALSE,1,,1.8,4.38,t-distribution
